,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,4wd,fwd,rwd,aspiration-turbo,aspiration-turbo
1,std,,convertible,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,,,0.3987730061349693,mpfi,3.47,2.68,9,111,5000.0,21.0,27,13495.0,11.190476190476188,Medium,0,1.0,,inf,Low,0,0,1,0,0
2,std,,convertible,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,,,0.3987730061349693,mpfi,3.47,2.68,9,111,5000.0,21.0,27,16500.0,11.190476190476188,Medium,0,1.0,,inf,Low,0,0,1,0,0
3,std,,hatchback,94.5,0.8226814031715521,0.9097222222222222,52.4,2823,,,0.4662576687116564,mpfi,2.68,3.47,9,154,5000.0,19.0,26,16500.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,0,1,0,0
4,std,,sedan,99.8,0.8486304661220567,0.9194444444444444,54.3,2337,,,0.3343558282208589,mpfi,3.19,3.4,10,102,5500.0,24.0,30,13950.0,9.791666666666666,Medium,0,1.0,,inf,Low,0,1,0,0,0
5,std,,sedan,99.4,0.8486304661220567,0.9222222222222224,54.3,2824,,,0.4171779141104294,mpfi,3.19,3.4,8,115,5500.0,18.0,22,17450.0,13.055555555555555,Medium,0,1.0,,inf,Low,1,0,0,0,0
6,std,,sedan,99.8,0.8519942335415667,0.9208333333333332,53.1,2507,,,0.4171779141104294,mpfi,3.19,3.4,8.5,110,5500.0,19.0,25,15250.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
7,std,,sedan,105.8,0.9259971167707832,0.9916666666666668,55.7,2844,,,0.4171779141104294,mpfi,3.19,3.4,8.5,110,5500.0,19.0,25,17710.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
8,std,,wagon,105.8,0.9259971167707832,0.9916666666666668,55.7,2954,,,0.4171779141104294,mpfi,3.19,3.4,8.5,110,5500.0,19.0,25,18920.0,12.36842105263158,Medium,0,1.0,,inf,Medium,0,1,0,0,0
9,turbo,,sedan,105.8,0.9259971167707832,0.9916666666666668,55.9,3086,,,0.401840490797546,mpfi,3.13,3.4,8.3,140,5500.0,17.0,20,23875.0,13.823529411764708,Medium,0,1.0,,inf,Medium,0,1,0,0,0
10,std,,sedan,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,,,0.3312883435582822,mpfi,3.5,2.8,8.8,101,5800.0,23.0,29,16430.0,10.217391304347826,Low,0,1.0,,inf,Low,0,0,1,0,0
11,std,,sedan,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,,,0.3312883435582822,mpfi,3.5,2.8,8.8,101,5800.0,23.0,29,16925.0,10.217391304347826,Low,0,1.0,,inf,Low,0,0,1,0,0
12,std,,sedan,101.2,0.8495915425276309,0.8999999999999999,54.3,2710,,,0.5030674846625767,mpfi,3.31,3.19,9,121,4250.0,21.0,28,20970.0,11.190476190476188,Medium,0,1.0,,inf,Medium,0,0,1,0,0
13,std,,sedan,101.2,0.8495915425276309,0.8999999999999999,54.3,2765,,,0.5030674846625767,mpfi,3.31,3.19,9,121,4250.0,21.0,28,21105.0,11.190476190476188,Medium,0,1.0,,inf,Medium,0,0,1,0,0
14,std,,sedan,103.5,0.9082172032676598,0.9291666666666668,55.7,3055,,,0.5030674846625767,mpfi,3.31,3.19,9,121,4250.0,20.0,25,24565.0,11.75,Medium,0,1.0,,inf,Medium,0,0,1,0,0
15,std,,sedan,103.5,0.9082172032676598,0.9291666666666668,55.7,3230,,,0.6411042944785276,mpfi,3.62,3.39,8,182,5400.0,16.0,22,30760.0,14.6875,High,0,1.0,,inf,Medium,0,0,1,0,0
16,std,,sedan,103.5,0.9312830370014415,0.9430555555555556,53.7,3380,,,0.6411042944785276,mpfi,3.62,3.39,8,182,5400.0,16.0,22,41315.0,14.6875,High,0,1.0,,inf,High,0,0,1,0,0
17,std,,sedan,110,0.9466602594906296,0.9847222222222224,56.3,3505,,,0.6411042944785276,mpfi,3.62,3.39,8,182,5400.0,15.0,20,36880.0,15.666666666666664,High,0,1.0,,inf,High,0,0,1,0,0
18,std,,hatchback,88.4,0.6780394041326285,0.8374999999999999,53.2,1488,,,0.18711656441717792,2bbl,2.91,3.03,9.5,48,5100.0,47.0,53,5151.0,5.0,Low,0,1.0,,inf,Low,0,1,0,0,0
19,std,,hatchback,94.5,0.7491590581451226,0.8833333333333333,52,1874,,,0.27607361963190186,2bbl,3.03,3.11,9.6,70,5400.0,38.0,43,6295.0,6.184210526315789,Low,0,1.0,,inf,Low,0,1,0,0,0
20,std,,sedan,94.5,0.7630946660259491,0.8833333333333333,52,1909,,,0.27607361963190186,2bbl,3.03,3.11,9.6,70,5400.0,38.0,43,6575.0,6.184210526315789,Low,0,1.0,,inf,Low,0,1,0,0,0
21,std,,hatchback,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,,,0.27607361963190186,2bbl,2.97,3.23,9.41,68,5500.0,37.0,41,5572.0,6.351351351351353,Low,0,1.0,,inf,Low,0,1,0,0,0
22,std,,hatchback,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,,,0.27607361963190186,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38,6377.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
23,turbo,,hatchback,93.7,0.7558865929841423,0.8861111111111111,50.8,2128,,,0.3006134969325153,mpfi,3.03,3.39,7.6,102,5500.0,24.0,30,7957.0,9.791666666666666,Medium,0,1.0,,inf,Low,0,1,0,0,0
24,std,,hatchback,93.7,0.7558865929841423,0.8861111111111111,50.6,1967,,,0.27607361963190186,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38,6229.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
25,std,,sedan,93.7,0.7558865929841423,0.8861111111111111,50.6,1989,,,0.27607361963190186,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38,6692.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
26,std,,sedan,93.7,0.7558865929841423,0.8861111111111111,50.6,1989,,,0.27607361963190186,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38,7609.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
27,turbo,,sedan,93.7,0.7558865929841423,0.8861111111111111,50.6,2191,,,0.3006134969325153,mpfi,3.03,3.39,7.6,102,5500.0,24.0,30,8558.0,9.791666666666666,Medium,0,1.0,,inf,Low,0,1,0,0,0
28,std,,wagon,103.3,0.8390197020663143,0.8972222222222221,59.8,2535,,,0.37423312883435583,2bbl,3.34,3.46,8.5,88,5000.0,24.0,30,8921.0,9.791666666666666,Low,0,1.0,,inf,Low,0,1,0,0,0
29,turbo,,hatchback,95.9,0.8322921672272945,0.9208333333333332,50.2,2811,,,0.4785276073619632,mfi,3.6,3.9,7,145,5000.0,19.0,24,12964.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
30,std,,hatchback,86.6,0.6948582412301778,0.8875,50.8,1713,,,0.2822085889570552,1bbl,2.91,3.41,9.6,58,4800.0,49.0,54,6479.0,4.795918367346938,Low,0,1.0,,inf,Low,0,1,0,0,0
31,std,,hatchback,86.6,0.6948582412301778,0.8875,50.8,1819,,,0.2822085889570552,1bbl,2.91,3.41,9.2,76,6000.0,31.0,38,6855.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
